				
#				
#	OBS.	POINT	head	cm]
#				
#				
#				
#	Time	Obs		
2920	-10.6	-16.5	56.02759109	
2920	-10.6	-16.6	56.13371065	
2930	-10.5	-16.4	56.23983021	
2930	-10.6	-16.8	56.34594977	
2940	-10.4	-16.8	56.45206933	
2940	-10.5	-16.8	56.55818889	
2950	-10.4	-16.6	56.66430845	
2950	-10.4	-16.4	56.77042802	
2960	-10.4	-16.2	56.87654758	
2960	-10.6	-16.4	56.98266714	
2970	-10.5	-16.5	57.0887867	
2970	-10.4	-16.5	57.19490626	
2980	-10.3	-16.4	57.30102582	
2980	-10.3	-16.4	57.40714538	
2990	-10.3	-16.6	57.51326495	
2990	-10.2	-16.6	57.61938451	
3000	-10.2	-16.4	57.72550407	
3000	-10.2	-16.2	57.83162363	
3010	-10.1	-16.2	57.93774319	
3010	-10.1	-16.2	58.04386275	
3020	-10.1	-16.3	58.14998231	
3020	-10.1	-16.2	58.25610187	
3030	-10.1	-16.3	58.36222144	
3030	-10.1	-16.2	58.468341	
3040	-9.95	-16.1	58.57446056	
3040	-9.88	-16.2	58.68058012	
3050	-9.88	-15.9	58.78669968	
3050	-9.88	-15.8	58.89281924	
3060	-9.83	-15.7	58.9989388	
3060	-9.8	-15.7	59.10505837	
3070	-9.8	-15.7	59.21117793	
3070	-9.78	-15.7	59.31729749	
3080	-9.75	-15.9	59.42341705	
3080	-9.7	-16.1	59.52953661	
3090	-9.73	-16.2	59.63565617	
3090	-9.7	-16	59.74177573	
3100	-9.63	-15.8	59.8478953	
3100	-9.65	-15.7	59.95401486	
3110	-9.55	-15.7	60.06013442	
3110	-9.5	-15.7	60.16625398	
3120	-9.5	-15.7	60.27237354	
3120	-9.45	-15.6	60.3784931	
3130	-9.45	-15.8	60.48461266	
3130	-9.43	-16	60.59073222	
3140	-9.43	-16	60.69685179	
3140	-9.38	-15.7	60.80297135	
3150	-8.88	-14	60.90909091	
3150	-8.51	-15.1	61.01521047	
3160	-9.43	-15.5	61.12133003	
3160	-9.45	-15.7	61.22744959	
3170	-9.55	-15.6	61.33356915	
3170	-9.7	-15.8	61.43968872	
3180	-9.7	-15.8	61.54580828	
3180	-9.58	-16	61.65192784	
3190	-9.58	-15.7	61.7580474	
3190	-9.5	-15.5	61.86416696	
3200	-9.38	-15.5	61.97028652	
3200	-9.45	-15.5	62.07640608	
3210	-9.45	-15.4	62.18252565	
3210	-9.35	-15.5	62.28864521	
3220	-9.3	-15.4	62.39476477	
3220	-9.35	-15.6	62.50088433	
3230	-9.28	-15.7	62.60700389	
3230	-9.25	-15.7	62.71312345	
3240	-9.18	-15.4	62.81924301	
3240	-9.16	-15.2	62.92536258	
3250	-9.13	-15.2	63.03148214	
3250	-9.03	-15.2	63.1376017	
3260	-9.06	-15.1	63.24372126	
3260	-9.06	-15.3	63.34984082	
3270	-9.06	-15.3	63.45596038	
3270	-9.03	-15.4	63.56207994	
3280	-8.98	-15.5	63.6681995	
3280	-9.13	-15.4	63.77431907	
3290	-8.88	-15.1	63.88043863	
3290	-8.91	-15.1	63.98655819	
3300	-8.93	-14.8	64.09267775	
3300	-8.83	-15.1	64.19879731	
3310	-8.96	-15.1	64.30491687	
3310	-8.86	-15.1	64.41103643	
3320	-8.91	-15.2	64.517156	
3320	-8.78	-15.3	64.62327556	
3330	-8.78	-15.4	64.72939512	
3330	-8.73	-15.1	64.83551468	
3340	-8.81	-15	64.94163424	
3340	-8.76	-14.9	65.0477538	
3350	-8.78	-15	65.15387336	
3350	-8.71	-14.9	65.25999293	
3360	-8.71	-15	65.36611249	
3360	-8.71	-15	65.47223205	
3370	-8.51	-15	65.57835161	
3370	-8.58	-15.3	65.68447117	
3380	-8.68	-15	65.79059073	
3380	-8.63	-16	65.89671029	
3390	-10.8	-18.2	66.00282985	
3390	-11.4	-14.8	66.10894942	
3400	-9.83	-16.1	66.21506898	
3400	-9.83	-16.2	66.32118854	
3410	-9.68	-16	66.4273081	
3410	-9.75	-16.2	66.53342766	
3420	-9.6	-16.4	66.63954722	
3420	-9.6	-16.4	66.74566678	
3430	-9.55	-15.9	66.85178635	
3430	-9.6	-16	66.95790591	
3440	-9.53	-15.8	67.06402547	
3440	-9.5	-15.9	67.17014503	
3450	-9.45	-15.9	67.27626459	
3450	-9.45	-15.9	67.38238415	
3460	-9.35	-16	67.48850371	
3460	-9.4	-16.3	67.59462328	
3470	-9.48	-16.4	67.70074284	
3470	-9.45	-16.1	67.8068624	
3480	-9.53	-16	67.91298196	
3480	-9.48	-16.1	68.01910152	
3490	-9.53	-16.1	68.12522108	
3490	-9.4	-16.2	68.23134064	
3500	-9.23	-16.2	68.33746021	
3500	-9.75	-16.6	68.44357977	
